id,ACC,F1,SE,SP,IoU,AUC
S1001L01,0.9929464285714286,0.96960661729345,0.9965401344404903,0.9924890544008858,0.9410062540838234,
S1001L02,0.9952008928571429,0.9742360695026963,0.9991397320879931,0.9948074586008372,0.9497663551401869,
S1001L03,0.9890848214285715,0.9518368954988673,1.0,0.9877652121697358,0.9080999812065401,
S1001L04,0.9914955357142857,0.9595111583421891,1.0,0.9905425028856536,0.922173424573588,
S1001L05,0.9922098214285714,0.9619577065620231,0.987799417953884,0.9926982867627006,0.9267037698204348,
S1001L06,0.9896986607142857,0.9583126326724177,1.0,0.9883151245078553,0.9199618453000347,
S1001L07,0.9947209821428571,0.9748042401321046,1.0,0.9941205717837166,0.9508469292320482,
S1001L08,0.9914397321428572,0.9657053431701319,0.9968614418905197,0.990694072390722,0.9336849386131766,
S1001L09,0.9939732142857143,0.9746383618260379,1.0,0.9931838836716147,0.9505313301575669,
S1001L10,0.9907700892857143,0.956282708674737,1.0,0.9897337223015331,0.9162277147487844,
S1001R01,0.9955133928571429,0.9808553195542432,0.9902875276468891,0.996199542935064,0.9624299065420561,
S1001R02,0.9928683035714285,0.9576849215283756,1.0,0.9922422270514393,0.9188055908513342,
S1001R03,0.9947098214285715,0.9788619336425258,0.9956454685657262,0.9945785662471207,0.9585990042798498,
S1001R04,0.9903013392857143,0.9564214432576099,0.9432245301681503,0.9962888413636936,0.9164824603555982,
S1001R05,0.9919084821428571,0.9629250830989516,0.9987270605707012,0.9911067316927145,0.9285009861932939,
S1001R06,0.993203125,0.9685742298364208,0.9738507834388295,0.9955354351387516,0.9390634380628377,
S1001R07,0.9944754464285714,0.9742603088762934,0.9910081455622554,0.9948843999151559,0.949812430295042,
S1001R08,0.9977008928571428,0.9862207357859532,0.9943350418127866,0.998004526318351,0.9728160464502508,
S1001R09,0.9953459821428572,0.9710476983961674,0.9975748930099857,0.9951567986439036,0.9437246963562753,
S1001R10,0.9960602678571429,0.9747406082289803,0.9997064435637751,0.995760203896747,0.9507258514796203,
S1002L01,0.9943526785714286,0.9642352275940063,0.9868344907407407,0.9949811339009288,0.9309403575815477,
S1002L02,0.9950223214285714,0.9592247211556043,0.9776369735370853,0.9961298288102192,0.9216444132115249,
S1002L03,0.99609375,0.9666476081570421,0.9982286951387522,0.995965404228635,0.9354481741054961,
S1002L04,0.9941741071428571,0.95770539620807,1.0,0.9937626956625643,0.9188432835820896,
S1002L05,0.9934263392857143,0.9447933264598369,1.0,0.9930345316934721,0.8953632972108723,
S1002L06,0.9960044642857143,0.9554060787244644,0.987384140061792,0.996395072098558,0.9146196041020749,
S1002L07,0.9969084821428571,0.9705601020299713,0.9986876640419947,0.9968128146022487,0.9428040470782573,
S1002L08,0.9941852678571429,0.9414409351466787,1.0,0.9939001545450288,0.8893607984710129,
S1002L09,0.9938727678571428,0.9446739897208506,1.0,0.9935345589014638,0.8951489686783805,
S1002L10,0.9927008928571428,0.9445856634468734,1.0,0.9922166948325518,0.894990366088632,
S1002R01,0.9630245535714286,0.5229661627069835,0.35953276578895266,0.9990774580420821,0.3540651199064145,
S1002R02,0.9950111607142857,0.9415304120340091,1.0,0.9948023860187672,0.8895205140879882,
S1002R03,0.9938058035714286,0.9539457306447597,0.999826056705514,0.993393042420484,0.9119466920514041,
S1002R04,0.9971205357142857,0.974858702007406,1.0,0.996950282512589,0.9509505703422053,
S1002R05,0.9943973214285714,0.9499301815280271,0.9941544885177453,0.9944110364343828,0.9046352583586627,
S1002R06,0.993671875,0.9476405946994182,1.0,0.9932874782464572,0.9004914004914005,
S1002R07,0.9948883928571428,0.9524600373676562,1.0,0.9946125252905472,0.909235037653587,
S1002R08,0.9971763392857143,0.9624238823704144,0.9857012473379981,0.9976133375041998,0.9275694245634125,
S1002R09,0.9944754464285714,0.9428868120456906,0.9915069157971366,0.9946185612840581,0.8919449901768173,
S1002R10,0.9943526785714286,0.9396325459317585,0.9962054136099165,0.9942671663922846,0.8861386138613861,
S1003R01,0.9958928571428571,0.9440899422667882,1.0,0.9957453204305551,0.8941007194244605,
S1003R02,0.9965959821428572,0.9567559903587126,0.9920611584827992,0.9967749045812596,0.91709703723838,
S1003R03,0.9957254464285714,0.9271724662483362,0.9674603174603175,0.9965434083601287,0.8642325416518964,
S1003R04,0.9963504464285714,0.9447355078587122,0.9562093739308929,0.9977041198933974,0.8952594490711082,
S1003R05,0.9954017857142857,0.9482931726907631,0.9499622831279859,0.9975123506534459,0.9016706443914081,
S1003R06,0.99390625,0.9389944134078212,1.0,0.9936064076442072,0.8850042122999158,
S1003R07,0.9966071428571428,0.9624691358024692,1.0,0.9964528249049031,0.9276534983341266,
S1004R01,0.9863727678571429,0.9441010850157945,1.0,0.9846006381717515,0.894120707596254,
S1004R02,0.9915401785714286,0.9613541348016723,0.997883149872989,0.9907924942609043,0.9255841350873748,
S1004R03,0.9911272321428571,0.9641455824651604,1.0,0.989925358948689,0.930773249738767,
S1004R04,0.9968861607142857,0.9858898497951752,1.0,0.9965060799218564,0.9721723518850988,
S1004R05,0.9915959821428572,0.9660336505931706,0.9863669859985261,0.9923168749365031,0.9342989267952185,
S1004R06,0.9932477678571429,0.9649945032691084,0.9991612748622094,0.9926403623206242,0.9323568872987478,
S1004R07,0.9923995535714286,0.9645515590026548,0.9920762394260627,0.9924371737207361,0.9315302634224814,
S1005L01,0.9979910714285715,0.9859769398566531,0.9973207249802994,0.9980421596300523,0.972341733251383,
S1005R01,0.9929352678571428,0.9428751917696959,1.0,0.9924978666919503,0.8919241932730066,
S1005R02,0.995546875,0.9694697375468666,1.0,0.9952080706179067,0.9407484407484408,
S1005R03,0.9952566964285714,0.9555578793265712,0.9919669995657837,0.995434971880368,0.9148978774529435,
S1005R04,0.9956808035714285,0.9660853562352116,1.0,0.9953976786223956,0.9343956602814036,
S1005R05,0.99609375,0.9683372534829021,1.0,0.9958455987085747,0.938618028761838,
S1005R06,0.969765625,0.591833659786048,0.43023001095290253,0.9987299347327571,0.42028675369141877,
S1005R07,0.993671875,0.9434188204769983,1.0,0.9933194302074865,0.8928976199471099,
S1006R01,0.9936272321428572,0.9620370985971678,0.9975182683027712,0.9932845155257629,0.9268511401486036,
S1006R02,0.9910602678571429,0.9429121231558691,1.0,0.9903476531903356,0.8919902912621359,
S1006R03,0.994609375,0.9667698658410733,0.9977279182050554,0.99434337072119,0.9356771873751498,
S1006R04,0.9901785714285715,0.9427977119084764,1.0,0.9893136445329577,0.8917855386128873,
S1006R05,0.990703125,0.9437732028349646,1.0,0.9899163529397523,0.8935327198364008,
S1006R06,0.9940178571428572,0.9582944288826641,0.9961177612423164,0.9938622359682563,0.9199282939946221,
S1006R07,0.9924888392857143,0.9447772216296053,0.9767560230743129,0.9935966358445034,0.8953343701399689,
S1007L01,0.994765625,0.974726518294983,0.9894967177242888,0.9953641561024111,0.9506990434142752,
S1007L02,0.990546875,0.9497180172157911,0.973943747717034,0.992222345091968,0.9042505087044992,
S1007L03,0.994921875,0.9751569751569752,0.9764898851831602,0.9970169660058418,0.9515183803942462,
S1007L04,0.9867522321428571,0.9345608908980649,0.999410446881264,0.9854288144577719,0.8771603021835869,
S1007L05,0.9942745535714286,0.9702763775421519,0.9994031988541417,0.9937455369234937,0.9422687373396353,
S1007L06,0.99171875,0.9524053880692752,1.0,0.9909705996884736,0.9091354396277247,
S1007L07,0.9918973214285715,0.9617814276689829,0.977214377406932,0.9936076359467677,0.9263766352296927,
S1007L09,0.9914174107142857,0.9540264243438752,1.0,0.9905784050673233,0.9120941929583904,
S1007L10,0.9890625,0.9407926534557758,1.0,0.9880216099933996,0.8882044261921058,
S1007R01,0.9913392857142858,0.9570938847727524,0.9566707195755499,0.9952329522177945,0.91771816350334,
S1007R02,0.9930133928571429,0.9560516708789666,0.9985335093122159,0.9925586789239077,0.915803631472764,
S1007R03,0.9901897321428571,0.9454951323866807,0.9497944437523359,0.9941647358807448,0.8966247206868164,
S1007R04,0.9849776785714286,0.936996817075454,0.9996005193248777,0.9831379496651463,0.8814619110523998,
S1007R05,0.9858035714285714,0.9399036190116224,0.9997989747713338,0.9840554418651366,0.8866209109546306,
S1007R06,0.9925334821428572,0.965234111105337,0.9995694758368313,0.9917194834950006,0.9328043390920048,
