id,ACC,F1,SE,SP,IoU,AUC
S1001L01,0.9955580357142857,0.9807077072224916,1.0,0.9949927029339238,0.9621457104812631,0.9999490784361027
S1001L02,0.9961941964285714,0.9793521041477444,0.9938552291999508,0.996427826129654,0.9595396298054105,0.9999214809279758
S1001L03,0.9957589285714286,0.9806300336425732,0.9953435430463576,0.9958091473178543,0.961996199619962,0.9999122856076665
S1001L04,0.9968191964285714,0.9843380777051163,0.9919149407464836,0.9973687803303918,0.96915918190672,0.9999481446496266
S1001L05,0.99703125,0.9851744510088062,0.9892545332437878,0.997892544566484,0.9707820738137083,0.9999229578078591
S1001L06,0.9970535714285714,0.9876265466816648,0.9931190498633236,0.9975820030130015,0.9755555555555555,0.9999350375992261
S1001L07,0.9963616071428572,0.9824485840422096,0.9971584699453552,0.9962709757613425,0.9655026455026455,0.9999436407910421
S1001L08,0.9890959821428571,0.9531751737359214,0.9179359364903535,0.9988827808600048,0.9105393279003754,0.9997235084671701
S1001L09,0.9970535714285714,0.9874297685934673,0.999325366229761,0.9967560335251944,0.9751716354744663,0.9999681975639805
S1001L10,0.9962053571428572,0.9814430739002292,0.9940298507462687,0.9964496306871082,0.9635623191512164,0.9999275651206242
S1001R01,0.995,0.9786585365853658,0.9877872872391577,0.9959470208709486,0.9582089552238806,0.999829150574724
S1001R02,0.9968973214285715,0.9810781377620473,0.9966809569907343,0.9969163156041715,0.9628590514362058,0.9999452872065216
S1001R03,0.9970982142857143,0.9883104037406708,0.9970969790438174,0.9970983875688815,0.9768909430272865,0.9999525690729983
S1001R04,0.9959821428571428,0.9823442864149092,0.9906033630069239,0.9966662473267077,0.9653012048192771,0.9998904664118025
S1001R05,0.9968526785714286,0.9851906312362146,0.9950143205685796,0.9970688386364487,0.9708134961705651,0.9999357593457886
S1001R06,0.99671875,0.9848469229976291,0.9913873612119954,0.9973612795918112,0.9701462225832657,0.9999248413675957
S1001R07,0.997265625,0.9870582642227035,0.9883634824923305,0.9983155950940148,0.9744472256987902,0.9999463583517819
S1001R08,0.9981919642857143,0.9891479099678456,0.9958187213380092,0.9984060545591706,0.9785288270377733,0.9999772585165124
S1001R09,0.997265625,0.9827719569650517,0.9968616262482168,0.9972999152439763,0.966127471312042,0.9999630982256161
S1001R10,0.9965848214285714,0.977797126686983,0.9889916336415676,0.9972097068380301,0.9565587734241908,0.9998784333037637
S1002L01,0.9972991071428572,0.982689556509299,0.9937789351851852,0.997593363003096,0.9659682182534102,0.9999365013217916
S1002L02,0.9982589285714286,0.9856406480117821,0.9977636973537085,0.9982904765296674,0.9716878402903811,0.9999635751925505
S1002L03,0.9973102678571428,0.9768202366067135,0.9994095650462508,0.997184065121452,0.9546907313404775,0.9999759547899194
S1002L04,0.9967075892857142,0.9755207036760435,0.994585448392555,0.9968574501135141,0.9522112425076948,0.9999117472648537
S1002L05,0.9975223214285714,0.9784507862550961,1.0,0.9973746452223273,0.9578107183580388,0.9999793163678274
S1002L06,0.9984821428571429,0.9827629911280101,0.9981977342945417,0.998495030099398,0.9661101420383753,0.9999839616578763
S1002L07,0.9978459821428571,0.9791913746630728,0.9932195975503062,0.9980947452603848,0.9592310942120829,0.9999625734424328
S1002L08,0.998046875,0.9795297695636916,0.9997612225405922,0.9979628155294338,0.9598807886290692,0.999990556476164
S1002L09,0.9981138392857143,0.9822795428331761,0.9993599317260508,0.9980450578827741,0.9651761796826706,0.9999698281777286
S1002L10,0.9977232142857143,0.9820295983086681,1.0,0.9975721800395115,0.9646936656282451,0.9999859403300689
S1002R01,0.99859375,0.9876446362031771,0.9970302910314789,0.9986871518291168,0.9755908562572646,0.9999775439811959
S1002R02,0.9981584821428572,0.9775173729390925,0.9966657404834677,0.9982209509191754,0.9560234541577826,0.9999810673124276
S1002R03,0.9969196428571429,0.976482617586912,0.996695077404766,0.9969350395344122,0.954045954045954,0.9999562408698104
S1002R04,0.9985491071428572,0.9870492129906356,0.9904038384646141,0.9990307099458616,0.9744295830055075,0.9999754146900307
S1002R05,0.9987946428571428,0.9888175605715469,0.9968684759916493,0.998903431199151,0.9778824493139463,0.9999849928576685
S1002R06,0.9979017857142857,0.9820095693779904,1.0,0.9977743314115237,0.9646550103402896,0.9999781108179537
S1002R07,0.9978571428571429,0.9794871794871794,0.999128160418483,0.9977885474991766,0.9597989949748744,0.9999688963855597
S1002R08,0.9983035714285714,0.9771015366074118,0.986613933678126,0.9987487400507455,0.9552282768777615,0.9999442337116837
S1002R09,0.9976227678571429,0.9746940715219199,0.9953894685755884,0.9977304367154506,0.9506373117033604,0.999957159357869
S1002R10,0.9977678571428571,0.9753147371019502,0.9994940551479888,0.9976881852254019,0.9518188388340159,0.9999742691595835
S1003R01,0.9978236607142857,0.9689836169874344,0.9803669134213068,0.9984507416785173,0.9398333847577908,0.9999167782241092
S1003R02,0.9980580357142858,0.9740220961481039,0.9591296677447809,0.9995939628069931,0.9493597206053551,0.9998660249522314
S1003R03,0.9984263392857143,0.9723908361073037,0.9853174603174604,0.9988056959118052,0.946265243902439,0.9999467990572435
S1003R04,0.9980245535714286,0.9693930485906969,0.9589462880602121,0.9993423861001188,0.9406040268456376,0.9998748267616552
S1003R05,0.998125,0.9788891681326967,0.979381443298969,0.9989955969774477,0.9586512429239479,0.9999344199317642
S1003R06,0.9981696428571428,0.9804202483285578,0.97715373631604,0.9992037284245533,0.9615925058548009,0.9999299372084228
S1003R07,0.9982142857142857,0.979328165374677,0.9722934838378656,0.9993932463653123,0.959493670886076,0.9999304629251008
S1004R01,0.9964620535714286,0.9848274541712535,0.99776937251479,0.9962920455548689,0.9701084394153701,0.9999413160469882
S1004R02,0.9969308035714286,0.9856464324860379,0.9993649449618967,0.9966438766343947,0.9716990840794484,0.9999636645073767
S1004R03,0.9962165178571428,0.9843872334546124,0.9998128917578819,0.9957293659946015,0.9692544893887176,0.99995249974481
S1004R04,0.996953125,0.9861526756276946,0.9973325125679696,0.9969068162749052,0.9726836101660996,0.999955367099593
S1004R05,0.9951674107142857,0.9804470535109505,1.0,0.9945011683429849,0.9616440783063159,0.9999614146362819
S1004R06,0.9966183035714286,0.982072066741613,0.9943685597891205,0.9968493858763876,0.9647756335735875,0.9999346305845896
S1004R07,0.9963616071428572,0.9828149710068529,0.9981796766249063,0.9961500604278541,0.9662106135986733,0.9999604186458928
S1005L01,0.9973772321428571,0.9817049435578046,0.9936958234830575,0.9976577983304306,0.9640672782874617,0.9999425370013297
S1005R01,0.9975892857142857,0.979718309859155,0.9986600306278713,0.997522992320091,0.9602429596907786,0.9999646853484969
S1005R02,0.9967857142857143,0.9775945231056481,0.9917916337805841,0.9971656758542005,0.9561710546339979,0.9998816456487217
S1005R03,0.9980357142857142,0.981240673630356,0.9993486756404689,0.9979645622043909,0.9631722117597824,0.9999629459681101
S1005R04,0.9980133928571429,0.9840215439856373,0.9943759071117562,0.9982518314147084,0.9685456794486659,0.9999542819472144
S1005R05,0.9970758928571428,0.9761079700893671,1.0,0.9968901338904188,0.9533309583184895,0.9999855343356697
S1005R06,0.9983147321428572,0.9836349842852498,0.9940854326396495,0.9985417769153878,0.9677969716357432,0.9999743369636277
S1005R07,0.9976227678571429,0.9778976860018678,0.996826740004231,0.9976671026121381,0.956751269035533,0.999969577113351
S1006R01,0.99640625,0.9781398506449422,0.9932441748242107,0.9966847608291741,0.9572149880414563,0.9998619736550773
S1006R02,0.9964620535714286,0.976488911963213,0.9951625094482237,0.9965656443935651,0.9540579710144927,0.9999165573320972
S1006R03,0.9963504464285714,0.9772521739130435,0.9974439079806873,0.9962571767726931,0.955516256291661,0.9999158647489357
S1006R04,0.9953459821428572,0.9720528114737618,1.0,0.9949361247389129,0.9456252444908071,0.9999302480605695
S1006R05,0.9955133928571429,0.9720522803114572,1.0,0.9951337021389921,0.9456242391451373,0.9999613917811149
S1006R06,0.99734375,0.981081081081081,0.998220640569395,0.9972787647749886,0.9628647214854111,0.999954190508797
S1006R07,0.9969866071428571,0.9776082269033007,1.0,0.9967744247724177,0.9561972744970798,0.9999763673073898
S1007L01,0.99703125,0.9855998267648333,0.9959518599562364,0.9971538652746706,0.9716084961041733,0.9999287555255312
S1007L02,0.9974553571428572,0.9862799374172584,0.9978083526117132,0.9974197353385675,0.9729312596462069,0.9999505050204619
S1007L03,0.9960044642857143,0.9806611927398444,0.9925642427556042,0.9963955005903922,0.9620561738208797,0.9998873717106291
S1007L04,0.9960491071428571,0.9794305636257989,0.9937507369413984,0.9962894019896695,0.9596902755636529,0.9999134104985608
S1007L05,0.9967633928571429,0.9828746899728357,0.9933158271663881,0.9971190071655462,0.9663260566651184,0.9999144615884934
S1007L06,0.9975892857142857,0.9856516540454364,0.9993265086206896,0.9974323403426791,0.9717092337917486,0.9999633200609898
S1007L07,0.9969084821428571,0.9852494808030247,0.9896234488660676,0.9977570652444799,0.9709277917716205,0.9999151747999365
S1007L09,0.9969196428571429,0.9829355756151849,0.9962401303421481,0.9969860697614584,0.9664437689969605,0.9999253524691433
S1007L10,0.997734375,0.9870642961830115,0.9947341381967634,0.9980198987948273,0.9744589833920483,0.9999504390714753
S1007R01,0.997265625,0.986631745512086,0.9993367967281972,0.9970330093230544,0.9736161964247254,0.9999721727087538
S1007R02,0.9977455357142857,0.9853240337111305,0.9944273353864203,0.9980188690641573,0.9710726048976085,0.9999549978099542
S1007R03,0.9962388392857143,0.9794022370270766,0.998131306839417,0.9960526154487391,0.9596358845370703,0.9999343587537257
